Levelling Depth,Mean Roughness,Profile Depth,Profile Mean,RMS Roughness,Valley Depth,Z,file,Traversal,X
8.670304482962314e-05,2.79738978298174e-05,0.00025984185845200005,-0.011015087119978001,3.6074122795498976e-05,0.000173138813623,0.005,xy_gf_2v_XTrav,XTrav,
7.116885134054661e-05,2.9853176041576634e-05,0.00018264552825000003,-0.011010011878958,3.6445571272023495e-05,0.000111476676909,0.00576923076923,xy_gf_2v_XTrav,XTrav,
8.937236665224059e-05,2.547446321023336e-05,0.00019418730170000001,-0.011013200274563002,3.1843026554672225e-05,0.00010481493504800001,0.006538461538461,xy_gf_2v_XTrav,XTrav,
9.377862746953909e-05,2.8005180814611693e-05,0.00023025616487100002,-0.011013131904706,3.566896520619906e-05,0.000136477537401,0.0073076923076920005,xy_gf_2v_XTrav,XTrav,
9.332881347421178e-05,3.0014113841977695e-05,0.000213889333211,-0.010987975543084,3.818464139780492e-05,0.000120560519736,0.008076923076923,xy_gf_2v_XTrav,XTrav,
9.855883073695006e-05,2.9367351208836155e-05,0.00019148772607200003,-0.010974021427389001,3.6833478739421476e-05,9.292889533546282e-05,0.008846153846153,xy_gf_2v_XTrav,XTrav,
0.000108151673653,2.7989845575710443e-05,0.0002014765427,-0.010969475262266002,3.506979414438911e-05,9.332486904716462e-05,0.009615384615384,xy_gf_2v_XTrav,XTrav,
0.000106198685758,1.974921363052344e-05,0.000192611746082,-0.010980392791273,2.7879310549947352e-05,8.641306032435536e-05,0.010384615384615001,xy_gf_2v_XTrav,XTrav,
0.00011906307683700001,2.52216751277021e-05,0.00022503442916500002,-0.011006288527475,3.406540711036989e-05,0.000105971352328,0.011153846153846,xy_gf_2v_XTrav,XTrav,
9.434359860896296e-05,2.757000234686423e-05,0.00026441588998,-0.011005045481404001,3.806655746420845e-05,0.000170072291371,0.011923076923076,xy_gf_2v_XTrav,XTrav,
9.742441988636574e-05,2.4585272860007923e-05,0.000196739635418,-0.010991807837109001,3.215951239033614e-05,9.93152155323411e-05,0.012692307692307002,xy_gf_2v_XTrav,XTrav,
8.334784847368118e-05,2.7770416048779433e-05,0.00015237756730700002,-0.010993861094879001,3.2511365546078176e-05,6.902971883372863e-05,0.013461538461538,xy_gf_2v_XTrav,XTrav,
7.086150478708733e-05,2.4506374982881753e-05,0.00015834931945800002,-0.010990559718190001,3.1157920462539014e-05,8.748781467113505e-05,0.014230769230769002,xy_gf_2v_XTrav,XTrav,
7.002249285625006e-05,2.7432911427038145e-05,0.000200480510936,-0.011002368953652001,3.3722419276352434e-05,0.000130458018079,0.015000000000000001,xy_gf_2v_XTrav,XTrav,
0.00012816788982800002,2.710086864624235e-05,0.00023453824371400003,-0.011018720928037,3.502678306936569e-05,0.00010637035388500001,0.01576923076923,xy_gf_2v_XTrav,XTrav,
8.937322436751091e-05,3.043465944026226e-05,0.00023449696479300002,-0.010996259708804001,3.8567964484561564e-05,0.000145123740425,0.016538461538461002,xy_gf_2v_XTrav,XTrav,
9.647664688923994e-05,3.1513850129292234e-05,0.00021006530947100002,-0.011006269040385002,3.9635101287545065e-05,0.000113588662582,0.017307692307692,xy_gf_2v_XTrav,XTrav,
9.609214248943593e-05,3.06493455209439e-05,0.00020506138908600003,-0.010986500824232,3.874609996192997e-05,0.00010896924659600001,0.018076923076923,xy_gf_2v_XTrav,XTrav,
8.642714990946683e-05,2.406819576689494e-05,0.00016838821936900002,-0.010994450732134,3.03606729390016e-05,8.196106946017911e-05,0.018846153846153003,xy_gf_2v_XTrav,XTrav,
8.51283479169282e-05,2.7454649486536542e-05,0.00022027329078700003,-0.010993240828763,3.412805719925457e-05,0.00013514494287,0.019615384615384,xy_gf_2v_XTrav,XTrav,
0.000107272321503,2.4729161954013002e-05,0.00022271596059900001,-0.011007689572858002,3.170268739354846e-05,0.00011544363909500001,0.020384615384615,xy_gf_2v_XTrav,XTrav,
8.853190860230732e-05,2.442964726924009e-05,0.00017558019623000002,-0.011024354176535,3.032123449870011e-05,8.70482876278913e-05,0.021153846153846002,xy_gf_2v_XTrav,XTrav,
8.862807946166673e-05,2.6569442593833534e-05,0.000252334050684,-0.011035113823891001,3.455962649193722e-05,0.000163705971222,0.021923076923076,xy_gf_2v_XTrav,XTrav,
8.379250224629584e-05,2.8402240728902995e-05,0.00019853854751,-0.011050447620462001,3.5369833289766155e-05,0.00011474604526400002,0.022692307692307002,xy_gf_2v_XTrav,XTrav,
0.00010487734095300001,2.8337012554415576e-05,0.000205328032138,-0.01103973160567,3.505021393190953e-05,0.00010045069118400001,0.023461538461538003,xy_gf_2v_XTrav,XTrav,
0.00010684120120200001,2.9684071667341653e-05,0.00022876079937400002,-0.011027487354353,3.697710366971851e-05,0.000121919598172,0.024230769230769,xy_gf_2v_XTrav,XTrav,
9.738353384069685e-05,2.8210313132897025e-05,0.00019522232996400002,-0.011029096266822,3.498020188485923e-05,9.783879612396304e-05,0.025,xy_gf_2v_XTrav,XTrav,
0.00010288231422,2.763801816895141e-05,0.00021148527082400002,-0.011012388234870002,3.4923596883665294e-05,0.00010860295660400001,0.025769230769230003,xy_gf_2v_XTrav,XTrav,
7.963468805537686e-05,2.7468072056789773e-05,0.00018097172782300001,-0.011014690159872002,3.3868793664545646e-05,0.000101337039768,0.026538461538461,xy_gf_2v_XTrav,XTrav,
0.000127594367011,2.9774294830476456e-05,0.00023143757629100003,-0.011008369576284,3.7475973693720734e-05,0.00010384320928,0.027307692307692002,xy_gf_2v_XTrav,XTrav,
